T	2013-04-21 07:58:10	51.2154996	0.2243079	103.4			
T	2013-04-21 07:58:11	51.2156197	0.2238880	103.2			
T	2013-04-21 07:58:12	51.2157517	0.2234757	102.5			
T	2013-04-21 07:58:13	51.2158756	0.2230620	102.6			
T	2013-04-21 07:58:14	51.2160104	0.2226465	102.5			
T	2013-04-21 07:58:15	51.2161427	0.2222442	103.4			
T	2013-04-21 07:58:16	51.2162728	0.2218263	103.8			
T	2013-04-21 07:58:17	51.2164102	0.2214192	104.3			
T	2013-04-21 07:58:18	51.2165513	0.2210166	105.0			
T	2013-04-21 07:58:19	51.2167034	0.2206070	105.1			
T	2013-04-21 07:58:20	51.2168585	0.2202146	105.6			
T	2013-04-21 07:58:21	51.2170204	0.2198236	106.2			
T	2013-04-21 07:58:22	51.2171819	0.2194289	106.4			
T	2013-04-21 07:58:23	51.2173481	0.2190429	106.5			
T	2013-04-21 07:58:24	51.2175231	0.2186568	107.1			
T	2013-04-21 07:58:25	51.2177012	0.2182763	106.6			
T	2013-04-21 07:58:26	51.2178766	0.2178898	105.9			
T	2013-04-21 07:58:27	51.2180638	0.2175202	106.1			
T	2013-04-21 07:58:28	51.2182535	0.2171439	106.4			
T	2013-04-21 07:58:29	51.2184411	0.2167842	106.6			
T	2013-04-21 07:58:30	51.2186337	0.2164174	106.4			
T	2013-04-21 07:58:31	51.2188329	0.2160584	105.8			
T	2013-04-21 07:58:32	51.2190271	0.2157011	104.8			
T	2013-04-21 07:58:33	51.2192314	0.2153500	104.3			
T	2013-04-21 07:58:34	51.2194406	0.2150057	104.7			
T	2013-04-21 07:58:35	51.2196510	0.2146668	104.7			
T	2013-04-21 07:58:36	51.2198635	0.2143376	105.0			
T	2013-04-21 07:58:37	51.2200744	0.2140133	104.9			
T	2013-04-21 07:58:38	51.2202908	0.2136825	104.9			
T	2013-04-21 07:58:39	51.2205112	0.2133570	105.2			
T	2013-04-21 07:58:40	51.2207474	0.2130459	106.9			
T	2013-04-21 07:58:41	51.2209712	0.2127222	106.9			
T	2013-04-21 07:58:42	51.2212058	0.2124118	106.6			
T	2013-04-21 07:58:43	51.2214399	0.2121074	106.5			
T	2013-04-21 07:58:44	51.2216741	0.2118069	106.4			
T	2013-04-21 07:58:45	51.2219135	0.2115131	106.3			
T	2013-04-21 07:58:46	51.2221579	0.2112286	106.5			
T	2013-04-21 07:58:47	51.2224030	0.2109370	106.3			
T	2013-04-21 07:58:48	51.2226513	0.2106418	106.9			
T	2013-04-21 07:58:49	51.2229026	0.2103528	106.7			
T	2013-04-21 07:58:50	51.2231394	0.2100678	106.6			
T	2013-04-21 07:58:51	51.2233856	0.2097789	106.4			
T	2013-04-21 07:58:52	51.2236340	0.2094981	107.2			
T	2013-04-21 07:58:53	51.2238853	0.2092263	108.0			
T	2013-04-21 07:58:54	51.2241337	0.2089450	107.3			
T	2013-04-21 07:58:55	51.2243791	0.2086600	107.2			
T	2013-04-21 07:58:56	51.2246190	0.2083599	107.6			
T	2013-04-21 07:58:57	51.2248631	0.2080840	108.3			
T	2013-04-21 07:58:58	51.2251179	0.2078063	108.6			
T	2013-04-21 07:58:59	51.2253690	0.2075259	108.6			
T	2013-04-21 07:59:00	51.2256199	0.2072514	108.6			
T	2013-04-21 07:59:01	51.2258795	0.2069858	108.5			
T	2013-04-21 07:59:02	51.2261476	0.2067592	109.0			
T	2013-04-21 07:59:03	51.2264175	0.2065218	109.7			
T	2013-04-21 07:59:04	51.2267055	0.2063387	111.3			
T	2013-04-21 07:59:05	51.2269523	0.2060556	109.9			
